Using device: cuda
Output directory: experiments/emender_1p3b_cma/heldout/leveltyped-gdn2-lm_100m_20260611_191934
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 1,287,942,344 parameters
Using schedule-free AdamW (lr=0.0011083449181198209)

Starting training from step 0...
Batch size: 2, Chunk size: 2048
Gradient accumulation: 1, Effective batch: 2

Time-based training: 15.0 min budget (from process start). Init took 21.4s, 878.6s remaining for training.
step    620 | loss 6.0905 | lr 1.11e-03 | grad 1.41 | tok/s 6919 | elapsed_h 0.111 | time 2026-06-11T19:26:07+00:00
step    630 | loss 6.0757 | lr 1.11e-03 | grad 1.54 | tok/s 6920 | elapsed_h 0.112 | time 2026-06-11T19:26:13+00:00
step    640 | loss 6.1357 | lr 1.11e-03 | grad 1.37 | tok/s 6911 | elapsed_h 0.114 | time 2026-06-11T19:26:19+00:00
step    650 | loss 6.0497 | lr 1.11e-03 | grad 1.54 | tok/s 6915 | elapsed_h 0.116 | time 2026-06-11T19:26:25+00:00
step    660 | loss 5.8808 | lr 1.11e-03 | grad 1.40 | tok/s 6920 | elapsed_h 0.117 | time 2026-06-11T19:26:31+00:00
step    670 | loss 5.8028 | lr 1.11e-03 | grad 4.88 | tok/s 6923 | elapsed_h 0.119 | time 2026-06-11T19:26:37+00:00
step    680 | loss 6.1686 | lr 1.11e-03 | grad 1.42 | tok/s 6922 | elapsed_h 0.121 | time 2026-06-11T19:26:43+00:00
step    690 | loss 6.0251 | lr 1.11e-03 | grad 1.36 | tok/s 6913 | elapsed_h 0.122 | time 2026-06-11T19:26:49+00:00
step    700 | loss 5.7563 | lr 1.11e-03 | grad 2.05 | tok/s 6918 | elapsed_h 0.124 | time 2026-06-11T19:26:55+00:00
step    710 | loss 5.9786 | lr 1.11e-03 | grad 1.37 | tok/s 6928 | elapsed_h 0.126 | time 2026-06-11T19:27:01+00:00
step    720 | loss 6.1113 | lr 1.11e-03 | grad 1.32 | tok/s 6929 | elapsed_h 0.127 | time 2026-06-11T19:27:07+00:00
step    730 | loss 6.1141 | lr 1.11e-03 | grad 1.54 | tok/s 6923 | elapsed_h 0.129 | time 2026-06-11T19:27:13+00:00
