Using device: cuda
Output directory: paper/review/wl_lm/delta_gdnneg/leveltyped-gdn2-lm_100m_20260607_154548
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.3s, 1041.7s remaining for training.
step    600 | loss 6.9519 | lr 3.00e-04 | grad 1.93 | tok/s 45711 | elapsed_h 0.090 | time 2026-06-07T15:51:05+00:00
step    610 | loss 7.0141 | lr 3.00e-04 | grad 1.92 | tok/s 45344 | elapsed_h 0.090 | time 2026-06-07T15:51:07+00:00
step    620 | loss 6.9616 | lr 3.00e-04 | grad 2.02 | tok/s 45777 | elapsed_h 0.091 | time 2026-06-07T15:51:09+00:00
step    630 | loss 6.9957 | lr 3.00e-04 | grad 2.03 | tok/s 45779 | elapsed_h 0.091 | time 2026-06-07T15:51:11+00:00
step    640 | loss 6.8772 | lr 3.00e-04 | grad 2.00 | tok/s 45578 | elapsed_h 0.092 | time 2026-06-07T15:51:13+00:00
step    650 | loss 7.0186 | lr 3.00e-04 | grad 1.96 | tok/s 45325 | elapsed_h 0.092 | time 2026-06-07T15:51:14+00:00
step    660 | loss 6.9003 | lr 3.00e-04 | grad 2.17 | tok/s 45293 | elapsed_h 0.093 | time 2026-06-07T15:51:16+00:00
step    670 | loss 6.9932 | lr 3.00e-04 | grad 2.06 | tok/s 45463 | elapsed_h 0.093 | time 2026-06-07T15:51:18+00:00
step    680 | loss 6.9704 | lr 3.00e-04 | grad 1.99 | tok/s 45600 | elapsed_h 0.094 | time 2026-06-07T15:51:20+00:00
step    690 | loss 6.9566 | lr 3.00e-04 | grad 1.87 | tok/s 45259 | elapsed_h 0.094 | time 2026-06-07T15:51:22+00:00
step    700 | loss 6.8376 | lr 3.00e-04 | grad 2.14 | tok/s 44895 | elapsed_h 0.095 | time 2026-06-07T15:51:24+00:00
step    710 | loss 6.9281 | lr 3.00e-04 | grad 2.06 | tok/s 44912 | elapsed_h 0.095 | time 2026-06-07T15:51:25+00:00
step    720 | loss 6.8427 | lr 3.00e-04 | grad 2.00 | tok/s 44786 | elapsed_h 0.096 | time 2026-06-07T15:51:27+00:00
step    730 | loss 6.8763 | lr 3.00e-04 | grad 1.82 | tok/s 45853 | elapsed_h 0.096 | time 2026-06-07T15:51:29+00:00
step    740 | loss 6.8996 | lr 3.00e-04 | grad 1.95 | tok/s 45804 | elapsed_h 0.097 | time 2026-06-07T15:51:31+00:00
step    750 | loss 6.8824 | lr 3.00e-04 | grad 2.06 | tok/s 45801 | elapsed_h 0.097 | time 2026-06-07T15:51:33+00:00
step    760 | loss 6.9239 | lr 3.00e-04 | grad 2.52 | tok/s 45796 | elapsed_h 0.098 | time 2026-06-07T15:51:34+00:00
step    770 | loss 6.8100 | lr 3.00e-04 | grad 1.95 | tok/s 45812 | elapsed_h 0.098 | time 2026-06-07T15:51:36+00:00
step    780 | loss 6.8917 | lr 3.00e-04 | grad 1.91 | tok/s 45792 | elapsed_h 0.099 | time 2026-06-07T15:51:38+00:00
step    790 | loss 6.8305 | lr 3.00e-04 | grad 1.99 | tok/s 45811 | elapsed_h 0.099 | time 2026-06-07T15:51:40+00:00
step    800 | loss 6.8702 | lr 3.00e-04 | grad 1.85 | tok/s 45795 | elapsed_h 0.100 | time 2026-06-07T15:51:42+00:00
step    810 | loss 6.8859 | lr 3.00e-04 | grad 2.03 | tok/s 45802 | elapsed_h 0.100 | time 2026-06-07T15:51:43+00:00
step    820 | loss 6.8256 | lr 3.00e-04 | grad 2.62 | tok/s 45805 | elapsed_h 0.101 | time 2026-06-07T15:51:45+00:00
step    830 | loss 6.8128 | lr 3.00e-04 | grad 1.82 | tok/s 45882 | elapsed_h 0.101 | time 2026-06-07T15:51:47+00:00
