Using device: cuda
Output directory: paper/review/wl_lm/raw_gdn/leveltyped-gdn2-lm_100m_20260607_154529
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.1s, 1040.9s remaining for training.
step    590 | loss 6.6019 | lr 3.00e-04 | grad 1.17 | tok/s 49672 | elapsed_h 0.076 | time 2026-06-07T15:49:55+00:00
step    600 | loss 6.5824 | lr 3.00e-04 | grad 1.12 | tok/s 50142 | elapsed_h 0.076 | time 2026-06-07T15:49:57+00:00
step    610 | loss 6.5445 | lr 3.00e-04 | grad 1.12 | tok/s 49965 | elapsed_h 0.077 | time 2026-06-07T15:49:59+00:00
step    620 | loss 6.6258 | lr 3.00e-04 | grad 1.31 | tok/s 50021 | elapsed_h 0.077 | time 2026-06-07T15:50:00+00:00
step    630 | loss 6.6376 | lr 3.00e-04 | grad 1.10 | tok/s 50023 | elapsed_h 0.078 | time 2026-06-07T15:50:02+00:00
step    640 | loss 6.5114 | lr 3.00e-04 | grad 1.16 | tok/s 50016 | elapsed_h 0.078 | time 2026-06-07T15:50:04+00:00
step    650 | loss 6.6391 | lr 3.00e-04 | grad 1.27 | tok/s 49867 | elapsed_h 0.079 | time 2026-06-07T15:50:05+00:00
step    660 | loss 6.5136 | lr 3.00e-04 | grad 1.43 | tok/s 49984 | elapsed_h 0.079 | time 2026-06-07T15:50:07+00:00
step    670 | loss 6.5610 | lr 3.00e-04 | grad 1.21 | tok/s 49784 | elapsed_h 0.080 | time 2026-06-07T15:50:09+00:00
step    680 | loss 6.4457 | lr 3.00e-04 | grad 1.19 | tok/s 49667 | elapsed_h 0.080 | time 2026-06-07T15:50:10+00:00
step    690 | loss 6.5527 | lr 3.00e-04 | grad 1.27 | tok/s 49646 | elapsed_h 0.081 | time 2026-06-07T15:50:12+00:00
step    700 | loss 6.4547 | lr 3.00e-04 | grad 1.30 | tok/s 49750 | elapsed_h 0.081 | time 2026-06-07T15:50:14+00:00
step    710 | loss 6.5903 | lr 3.00e-04 | grad 1.14 | tok/s 49687 | elapsed_h 0.081 | time 2026-06-07T15:50:15+00:00
step    720 | loss 6.5087 | lr 3.00e-04 | grad 1.35 | tok/s 49745 | elapsed_h 0.082 | time 2026-06-07T15:50:17+00:00
step    730 | loss 6.5438 | lr 3.00e-04 | grad 1.22 | tok/s 49668 | elapsed_h 0.082 | time 2026-06-07T15:50:19+00:00
step    740 | loss 6.4422 | lr 3.00e-04 | grad 1.17 | tok/s 49531 | elapsed_h 0.083 | time 2026-06-07T15:50:20+00:00
step    750 | loss 6.4605 | lr 3.00e-04 | grad 1.10 | tok/s 49546 | elapsed_h 0.083 | time 2026-06-07T15:50:22+00:00
step    760 | loss 6.4260 | lr 3.00e-04 | grad 1.23 | tok/s 49590 | elapsed_h 0.084 | time 2026-06-07T15:50:24+00:00
step    770 | loss 6.4323 | lr 3.00e-04 | grad 1.20 | tok/s 49638 | elapsed_h 0.084 | time 2026-06-07T15:50:25+00:00
step    780 | loss 6.4603 | lr 3.00e-04 | grad 1.13 | tok/s 49565 | elapsed_h 0.085 | time 2026-06-07T15:50:27+00:00
step    790 | loss 6.4588 | lr 3.00e-04 | grad 1.44 | tok/s 49503 | elapsed_h 0.085 | time 2026-06-07T15:50:28+00:00
step    800 | loss 6.4745 | lr 3.00e-04 | grad 1.12 | tok/s 49527 | elapsed_h 0.086 | time 2026-06-07T15:50:30+00:00
