Using device: cuda
Output directory: paper/review/wl_lm/raw_none/leveltyped-gdn2-lm_100m_20260607_154523
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.5s, 1040.5s remaining for training.
step    760 | loss 6.1169 | lr 3.00e-04 | grad 1.73 | tok/s 43148 | elapsed_h 0.088 | time 2026-06-07T15:50:34+00:00
step    770 | loss 6.0945 | lr 3.00e-04 | grad 2.05 | tok/s 43144 | elapsed_h 0.089 | time 2026-06-07T15:50:36+00:00
step    780 | loss 6.1522 | lr 3.00e-04 | grad 1.75 | tok/s 43061 | elapsed_h 0.089 | time 2026-06-07T15:50:38+00:00
step    790 | loss 6.1367 | lr 3.00e-04 | grad 2.30 | tok/s 43005 | elapsed_h 0.090 | time 2026-06-07T15:50:40+00:00
step    800 | loss 6.1558 | lr 3.00e-04 | grad 1.62 | tok/s 42948 | elapsed_h 0.090 | time 2026-06-07T15:50:42+00:00
step    810 | loss 6.0701 | lr 3.00e-04 | grad 1.97 | tok/s 42958 | elapsed_h 0.091 | time 2026-06-07T15:50:44+00:00
step    820 | loss 6.1439 | lr 3.00e-04 | grad 1.60 | tok/s 42906 | elapsed_h 0.091 | time 2026-06-07T15:50:45+00:00
step    830 | loss 6.0789 | lr 3.00e-04 | grad 1.80 | tok/s 42844 | elapsed_h 0.092 | time 2026-06-07T15:50:47+00:00
step    840 | loss 6.1445 | lr 3.00e-04 | grad 1.88 | tok/s 42844 | elapsed_h 0.092 | time 2026-06-07T15:50:49+00:00
step    850 | loss 6.0955 | lr 3.00e-04 | grad 1.61 | tok/s 42712 | elapsed_h 0.093 | time 2026-06-07T15:50:51+00:00
step    860 | loss 6.0955 | lr 3.00e-04 | grad 1.62 | tok/s 42784 | elapsed_h 0.093 | time 2026-06-07T15:50:53+00:00
step    870 | loss 6.1001 | lr 3.00e-04 | grad 1.72 | tok/s 42739 | elapsed_h 0.094 | time 2026-06-07T15:50:55+00:00
step    880 | loss 6.0526 | lr 3.00e-04 | grad 1.70 | tok/s 42668 | elapsed_h 0.094 | time 2026-06-07T15:50:57+00:00
step    890 | loss 6.1425 | lr 3.00e-04 | grad 2.12 | tok/s 42624 | elapsed_h 0.095 | time 2026-06-07T15:50:59+00:00
step    900 | loss 6.0558 | lr 3.00e-04 | grad 2.00 | tok/s 42631 | elapsed_h 0.096 | time 2026-06-07T15:51:01+00:00
step    910 | loss 6.0427 | lr 3.00e-04 | grad 2.05 | tok/s 42653 | elapsed_h 0.096 | time 2026-06-07T15:51:03+00:00
step    920 | loss 6.1064 | lr 3.00e-04 | grad 1.93 | tok/s 42552 | elapsed_h 0.097 | time 2026-06-07T15:51:05+00:00
step    930 | loss 6.0901 | lr 3.00e-04 | grad 2.11 | tok/s 42613 | elapsed_h 0.097 | time 2026-06-07T15:51:07+00:00
step    940 | loss 6.1097 | lr 3.00e-04 | grad 1.87 | tok/s 42589 | elapsed_h 0.098 | time 2026-06-07T15:51:09+00:00
