Using device: cuda
Output directory: paper/review/wl_lm/raw_gdnneg/leveltyped-gdn2-lm_100m_20260607_154535
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step    520 | loss 6.9129 | lr 3.00e-04 | grad 1.55 | tok/s 49279 | elapsed_h 0.073 | time 2026-06-07T15:49:51+00:00
step    530 | loss 6.9001 | lr 3.00e-04 | grad 1.66 | tok/s 49323 | elapsed_h 0.074 | time 2026-06-07T15:49:53+00:00
step    540 | loss 6.8823 | lr 3.00e-04 | grad 1.64 | tok/s 49165 | elapsed_h 0.074 | time 2026-06-07T15:49:54+00:00
step    550 | loss 6.7847 | lr 3.00e-04 | grad 1.48 | tok/s 49020 | elapsed_h 0.075 | time 2026-06-07T15:49:56+00:00
step    560 | loss 6.8866 | lr 3.00e-04 | grad 1.88 | tok/s 48983 | elapsed_h 0.075 | time 2026-06-07T15:49:58+00:00
step    570 | loss 6.7562 | lr 3.00e-04 | grad 1.55 | tok/s 49026 | elapsed_h 0.076 | time 2026-06-07T15:49:59+00:00
step    580 | loss 6.8673 | lr 3.00e-04 | grad 1.42 | tok/s 48948 | elapsed_h 0.076 | time 2026-06-07T15:50:01+00:00
step    590 | loss 6.7712 | lr 3.00e-04 | grad 1.51 | tok/s 49088 | elapsed_h 0.077 | time 2026-06-07T15:50:03+00:00
step    600 | loss 6.7688 | lr 3.00e-04 | grad 1.58 | tok/s 48840 | elapsed_h 0.077 | time 2026-06-07T15:50:04+00:00
step    610 | loss 6.7287 | lr 3.00e-04 | grad 1.56 | tok/s 48904 | elapsed_h 0.078 | time 2026-06-07T15:50:06+00:00
step    620 | loss 6.8239 | lr 3.00e-04 | grad 1.53 | tok/s 48820 | elapsed_h 0.078 | time 2026-06-07T15:50:08+00:00
step    630 | loss 6.7957 | lr 3.00e-04 | grad 1.53 | tok/s 48707 | elapsed_h 0.078 | time 2026-06-07T15:50:10+00:00
step    640 | loss 6.7095 | lr 3.00e-04 | grad 1.53 | tok/s 48708 | elapsed_h 0.079 | time 2026-06-07T15:50:11+00:00
step    650 | loss 6.7840 | lr 3.00e-04 | grad 1.64 | tok/s 48724 | elapsed_h 0.079 | time 2026-06-07T15:50:13+00:00
step    660 | loss 6.7223 | lr 3.00e-04 | grad 1.52 | tok/s 48835 | elapsed_h 0.080 | time 2026-06-07T15:50:15+00:00
step    670 | loss 6.7425 | lr 3.00e-04 | grad 1.45 | tok/s 48557 | elapsed_h 0.080 | time 2026-06-07T15:50:16+00:00
step    680 | loss 6.6178 | lr 3.00e-04 | grad 1.53 | tok/s 48567 | elapsed_h 0.081 | time 2026-06-07T15:50:18+00:00
step    690 | loss 6.7486 | lr 3.00e-04 | grad 1.37 | tok/s 48549 | elapsed_h 0.081 | time 2026-06-07T15:50:20+00:00
step    700 | loss 6.6595 | lr 3.00e-04 | grad 1.49 | tok/s 48516 | elapsed_h 0.082 | time 2026-06-07T15:50:21+00:00
step    710 | loss 6.7682 | lr 3.00e-04 | grad 1.86 | tok/s 48528 | elapsed_h 0.082 | time 2026-06-07T15:50:23+00:00
step    720 | loss 6.7001 | lr 3.00e-04 | grad 1.42 | tok/s 48288 | elapsed_h 0.083 | time 2026-06-07T15:50:25+00:00
step    730 | loss 6.7248 | lr 3.00e-04 | grad 1.34 | tok/s 48464 | elapsed_h 0.083 | time 2026-06-07T15:50:27+00:00
step    740 | loss 6.5986 | lr 3.00e-04 | grad 1.41 | tok/s 48364 | elapsed_h 0.084 | time 2026-06-07T15:50:28+00:00
step    750 | loss 6.6659 | lr 3.00e-04 | grad 1.38 | tok/s 48622 | elapsed_h 0.084 | time 2026-06-07T15:50:30+00:00
step    760 | loss 6.6068 | lr 3.00e-04 | grad 1.46 | tok/s 48359 | elapsed_h 0.085 | time 2026-06-07T15:50:32+00:00
step    770 | loss 6.6128 | lr 3.00e-04 | grad 1.52 | tok/s 48403 | elapsed_h 0.085 | time 2026-06-07T15:50:33+00:00
step    780 | loss 6.6595 | lr 3.00e-04 | grad 1.39 | tok/s 48459 | elapsed_h 0.086 | time 2026-06-07T15:50:35+00:00
step    790 | loss 6.6205 | lr 3.00e-04 | grad 1.45 | tok/s 48246 | elapsed_h 0.086 | time 2026-06-07T15:50:37+00:00
step    800 | loss 6.6773 | lr 3.00e-04 | grad 1.51 | tok/s 48238 | elapsed_h 0.087 | time 2026-06-07T15:50:38+00:00
step    810 | loss 6.5822 | lr 3.00e-04 | grad 1.60 | tok/s 48272 | elapsed_h 0.087 | time 2026-06-07T15:50:40+00:00
step    820 | loss 6.6335 | lr 3.00e-04 | grad 1.41 | tok/s 48253 | elapsed_h 0.087 | time 2026-06-07T15:50:42+00:00
step    830 | loss 6.5705 | lr 3.00e-04 | grad 1.29 | tok/s 48376 | elapsed_h 0.088 | time 2026-06-07T15:50:44+00:00
step    840 | loss 6.6256 | lr 3.00e-04 | grad 1.39 | tok/s 48246 | elapsed_h 0.088 | time 2026-06-07T15:50:45+00:00
step    850 | loss 6.6184 | lr 3.00e-04 | grad 1.34 | tok/s 48190 | elapsed_h 0.089 | time 2026-06-07T15:50:47+00:00
step    860 | loss 6.5909 | lr 3.00e-04 | grad 1.41 | tok/s 48169 | elapsed_h 0.089 | time 2026-06-07T15:50:49+00:00
step    870 | loss 6.5694 | lr 3.00e-04 | grad 1.50 | tok/s 48149 | elapsed_h 0.090 | time 2026-06-07T15:50:50+00:00
step    880 | loss 6.5403 | lr 3.00e-04 | grad 1.40 | tok/s 48227 | elapsed_h 0.090 | time 2026-06-07T15:50:52+00:00
step    890 | loss 6.6312 | lr 3.00e-04 | grad 1.26 | tok/s 48275 | elapsed_h 0.091 | time 2026-06-07T15:50:54+00:00
step    900 | loss 6.5397 | lr 3.00e-04 | grad 1.30 | tok/s 48196 | elapsed_h 0.091 | time 2026-06-07T15:50:56+00:00
step    910 | loss 6.5423 | lr 3.00e-04 | grad 1.39 | tok/s 48173 | elapsed_h 0.092 | time 2026-06-07T15:50:57+00:00
step    920 | loss 6.5628 | lr 3.00e-04 | grad 1.58 | tok/s 48195 | elapsed_h 0.092 | time 2026-06-07T15:50:59+00:00
step    930 | loss 6.5479 | lr 3.00e-04 | grad 1.27 | tok/s 48124 | elapsed_h 0.093 | time 2026-06-07T15:51:01+00:00
step    940 | loss 6.5988 | lr 3.00e-04 | grad 1.43 | tok/s 47954 | elapsed_h 0.093 | time 2026-06-07T15:51:02+00:00
step    950 | loss 6.5037 | lr 3.00e-04 | grad 1.34 | tok/s 48074 | elapsed_h 0.094 | time 2026-06-07T15:51:04+00:00
step    960 | loss 6.4813 | lr 3.00e-04 | grad 1.37 | tok/s 48142 | elapsed_h 0.094 | time 2026-06-07T15:51:06+00:00
step    970 | loss 6.4955 | lr 3.00e-04 | grad 1.28 | tok/s 48128 | elapsed_h 0.095 | time 2026-06-07T15:51:08+00:00
step    980 | loss 6.4668 | lr 3.00e-04 | grad 1.44 | tok/s 47956 | elapsed_h 0.095 | time 2026-06-07T15:51:09+00:00
step    990 | loss 6.5022 | lr 3.00e-04 | grad 1.27 | tok/s 48059 | elapsed_h 0.096 | time 2026-06-07T15:51:11+00:00
step   1000 | loss 6.5904 | lr 3.00e-04 | grad 1.51 | tok/s 47539 | elapsed_h 0.096 | time 2026-06-07T15:51:13+00:00
  >>> validation loss: 9.0981
step   1010 | loss 6.4604 | lr 3.00e-04 | grad 1.31 | tok/s 506 | elapsed_h 0.141 | time 2026-06-07T15:53:55+00:00
step   1020 | loss 6.4844 | lr 3.00e-04 | grad 1.38 | tok/s 48207 | elapsed_h 0.142 | time 2026-06-07T15:53:57+00:00
