Using device: cuda
Output directory: paper/review/wl_lm/delta_none/leveltyped-gdn2-lm_100m_20260607_154539
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.4s, 1040.6s remaining for training.
step    570 | loss 6.2131 | lr 3.00e-04 | grad 2.05 | tok/s 41227 | elapsed_h 0.093 | time 2026-06-07T15:51:07+00:00
step    580 | loss 6.3303 | lr 3.00e-04 | grad 1.73 | tok/s 41224 | elapsed_h 0.094 | time 2026-06-07T15:51:09+00:00
step    590 | loss 6.2389 | lr 3.00e-04 | grad 1.89 | tok/s 41162 | elapsed_h 0.094 | time 2026-06-07T15:51:11+00:00
step    600 | loss 6.2465 | lr 3.00e-04 | grad 1.89 | tok/s 41265 | elapsed_h 0.095 | time 2026-06-07T15:51:13+00:00
step    610 | loss 6.2143 | lr 3.00e-04 | grad 1.62 | tok/s 41206 | elapsed_h 0.095 | time 2026-06-07T15:51:15+00:00
step    620 | loss 6.2612 | lr 3.00e-04 | grad 2.03 | tok/s 41218 | elapsed_h 0.096 | time 2026-06-07T15:51:17+00:00
step    630 | loss 6.1659 | lr 3.00e-04 | grad 1.66 | tok/s 41200 | elapsed_h 0.096 | time 2026-06-07T15:51:19+00:00
step    640 | loss 6.1413 | lr 3.00e-04 | grad 1.86 | tok/s 41228 | elapsed_h 0.097 | time 2026-06-07T15:51:21+00:00
step    650 | loss 6.2281 | lr 3.00e-04 | grad 1.64 | tok/s 41228 | elapsed_h 0.097 | time 2026-06-07T15:51:23+00:00
step    660 | loss 6.1954 | lr 3.00e-04 | grad 1.59 | tok/s 41218 | elapsed_h 0.098 | time 2026-06-07T15:51:25+00:00
step    670 | loss 6.2415 | lr 3.00e-04 | grad 1.86 | tok/s 41248 | elapsed_h 0.099 | time 2026-06-07T15:51:27+00:00
step    680 | loss 6.2247 | lr 3.00e-04 | grad 1.66 | tok/s 41137 | elapsed_h 0.099 | time 2026-06-07T15:51:29+00:00
step    690 | loss 6.1623 | lr 3.00e-04 | grad 1.71 | tok/s 40883 | elapsed_h 0.100 | time 2026-06-07T15:51:31+00:00
step    700 | loss 6.1126 | lr 3.00e-04 | grad 1.73 | tok/s 40932 | elapsed_h 0.100 | time 2026-06-07T15:51:33+00:00
step    710 | loss 6.1708 | lr 3.00e-04 | grad 1.96 | tok/s 40979 | elapsed_h 0.101 | time 2026-06-07T15:51:35+00:00
step    720 | loss 6.0656 | lr 3.00e-04 | grad 1.77 | tok/s 40941 | elapsed_h 0.101 | time 2026-06-07T15:51:37+00:00
