Using device: cuda
Output directory: paper/review/wl_lm/delta_gdn/leveltyped-gdn2-lm_100m_20260607_154543
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.9s, 1041.1s remaining for training.
step    770 | loss 6.6734 | lr 3.00e-04 | grad 1.59 | tok/s 45801 | elapsed_h 0.101 | time 2026-06-07T15:51:41+00:00
step    780 | loss 6.6111 | lr 3.00e-04 | grad 1.42 | tok/s 45784 | elapsed_h 0.102 | time 2026-06-07T15:51:43+00:00
step    790 | loss 6.6480 | lr 3.00e-04 | grad 1.33 | tok/s 45788 | elapsed_h 0.102 | time 2026-06-07T15:51:45+00:00
step    800 | loss 6.6658 | lr 3.00e-04 | grad 1.50 | tok/s 45801 | elapsed_h 0.103 | time 2026-06-07T15:51:46+00:00
step    810 | loss 6.6015 | lr 3.00e-04 | grad 2.27 | tok/s 45788 | elapsed_h 0.103 | time 2026-06-07T15:51:48+00:00
step    820 | loss 6.5904 | lr 3.00e-04 | grad 1.41 | tok/s 45731 | elapsed_h 0.104 | time 2026-06-07T15:51:50+00:00
step    830 | loss 6.5937 | lr 3.00e-04 | grad 1.51 | tok/s 45380 | elapsed_h 0.104 | time 2026-06-07T15:51:52+00:00
step    840 | loss 6.6034 | lr 3.00e-04 | grad 1.52 | tok/s 39197 | elapsed_h 0.105 | time 2026-06-07T15:51:54+00:00
step    850 | loss 6.5898 | lr 3.00e-04 | grad 1.23 | tok/s 45760 | elapsed_h 0.105 | time 2026-06-07T15:51:56+00:00
step    860 | loss 6.5525 | lr 3.00e-04 | grad 1.19 | tok/s 45322 | elapsed_h 0.106 | time 2026-06-07T15:51:58+00:00
step    870 | loss 6.5927 | lr 3.00e-04 | grad 1.30 | tok/s 45750 | elapsed_h 0.106 | time 2026-06-07T15:51:59+00:00
step    880 | loss 6.5628 | lr 3.00e-04 | grad 1.34 | tok/s 45303 | elapsed_h 0.107 | time 2026-06-07T15:52:01+00:00
step    890 | loss 6.6260 | lr 3.00e-04 | grad 1.40 | tok/s 45286 | elapsed_h 0.107 | time 2026-06-07T15:52:03+00:00
step    900 | loss 6.5144 | lr 3.00e-04 | grad 1.34 | tok/s 45305 | elapsed_h 0.108 | time 2026-06-07T15:52:05+00:00
step    910 | loss 6.4864 | lr 3.00e-04 | grad 1.39 | tok/s 45300 | elapsed_h 0.108 | time 2026-06-07T15:52:07+00:00
step    920 | loss 6.5020 | lr 3.00e-04 | grad 1.41 | tok/s 45280 | elapsed_h 0.109 | time 2026-06-07T15:52:08+00:00
step    930 | loss 6.5230 | lr 3.00e-04 | grad 1.42 | tok/s 45299 | elapsed_h 0.109 | time 2026-06-07T15:52:10+00:00
step    940 | loss 6.5337 | lr 3.00e-04 | grad 1.46 | tok/s 45292 | elapsed_h 0.110 | time 2026-06-07T15:52:12+00:00
step    950 | loss 6.5937 | lr 3.00e-04 | grad 1.26 | tok/s 45291 | elapsed_h 0.110 | time 2026-06-07T15:52:14+00:00
step    960 | loss 6.4939 | lr 3.00e-04 | grad 1.32 | tok/s 45314 | elapsed_h 0.111 | time 2026-06-07T15:52:16+00:00
step    970 | loss 6.4803 | lr 3.00e-04 | grad 1.23 | tok/s 45280 | elapsed_h 0.111 | time 2026-06-07T15:52:18+00:00
