name,gen,a_delta,a_track,f_delta,f_track,dim,model_params,heldout_bpb,tok_s,avg_loss,fused_asserted
cma_g12_e4,12,-2.498760248830552,-3.4344835796556734,0.0625,0.03125,448,41873264,2.38222,42548.6,6.47417,True
cma_g12_e5,12,-2.7007981897619375,-3.3082908711387335,0.0625,0.03125,448,41873264,2.39251,38667.3,6.47116,True
cma_g12_e6,12,-1.97718637009486,-3.8493270110589317,0.125,0.0,448,42099328,2.38971,55355.6,6.524,True
cma_g12_e7,12,-2.5241662954609323,-3.4615989153636564,0.0625,0.03125,448,41873264,2.38456,43053.6,6.45288,True
cma_g13_e0,13,-2.5404863740230264,-2.517989944402848,0.0625,0.0625,448,42092640,2.41731,44075.7,6.52489,True
cma_g13_e1,13,-2.461658535678813,-3.2014842540575863,0.09375,0.03125,448,42095984,2.38737,39449.0,6.48125,True
cma_g13_e2,13,-2.5058320004182324,-3.330745638420332,0.0625,0.03125,448,41873264,2.37614,43089.4,6.45589,True
cma_g13_e3,13,-2.311268405414983,-3.2783243050856514,0.09375,0.03125,448,42095984,2.37053,40474.3,6.45698,True
cma_g13_e4,13,-2.207799493711148,-3.519243838528425,0.09375,0.03125,448,42095984,2.38971,42545.8,6.48481,True
cma_g13_e5,13,-2.262916260273244,-3.4449623982158166,0.09375,0.03125,448,42095984,2.38503,42983.2,6.47901,True
cma_g13_e6,13,-2.6369744861212303,-3.990503296835238,0.0625,0.03125,448,41873264,2.3869,38717.8,6.4554,True
cma_g13_e7,13,-2.391115506039375,-3.893984249513419,0.09375,0.0,448,41876608,2.38035,55618.6,6.50747,True
cma_g14_e0,14,-2.3219598186498773,-3.164902994357839,0.09375,0.03125,448,42095984,2.38971,43542.8,6.45768,True
cma_g14_e1,14,-2.379806786706846,-3.6081176651486224,0.09375,0.03125,448,42095984,2.38082,42452.6,6.46717,True
cma_g14_e2,14,-2.2899395999470054,-3.2477675913215687,0.09375,0.03125,448,42095984,2.38456,43354.3,6.47912,True
cma_g14_e3,14,-2.2861455753056577,-3.342178379367413,0.09375,0.03125,448,42095984,2.39439,41131.7,6.47956,True
cma_g14_e4,14,-2.3792395709233833,-3.521165871063607,0.09375,0.03125,448,42095984,2.38456,41792.7,6.47912,True
cma_g14_e5,14,-2.6460321010593013,-3.2643145945399916,0.0625,0.03125,448,41873264,2.37708,41398.4,6.4741,True
cma_g14_e6,14,-2.1246835521392855,-3.3450224448011023,0.09375,0.03125,448,42095984,2.38503,42926.6,6.47901,True
cma_g14_e7,14,-2.297323632338188,-3.2126562447978775,0.09375,0.03125,448,42095984,2.38503,41099.3,6.47901,True
