step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1300,5324800,1.5975e+16,1.5060,1.4588,2.1046,1.18224e+15
1310,5365760,1.60979e+16,1.4388,1.4544,2.0983,1.19078e+15
1320,5406720,1.62208e+16,1.5476,1.4520,2.0948,1.19956e+15
1330,5447680,1.63437e+16,1.5777,1.4525,2.0956,1.20872e+15
1340,5488640,1.64665e+16,1.4538,1.4537,2.0972,1.21795e+15
1350,5529600,1.65894e+16,1.6679,1.4557,2.1001,1.22731e+15
1360,5570560,1.67123e+16,1.4793,1.4560,2.1006,1.23644e+15
1370,5611520,1.68352e+16,1.3720,1.4537,2.0973,1.24523e+15
1380,5652480,1.69581e+16,1.6553,1.4537,2.0972,1.25431e+15
1390,5693440,1.7081e+16,1.4891,1.4504,2.0925,1.26296e+15
1400,5734400,1.72038e+16,1.3763,1.4473,2.0880,1.27163e+15
1410,5775360,1.73267e+16,1.4187,1.4473,2.0880,1.2807e+15
1420,5816320,1.74496e+16,1.6502,1.4496,2.0913,1.29011e+15
1430,5857280,1.75725e+16,1.3518,1.4453,2.0851,1.29859e+15
1440,5898240,1.76954e+16,1.1295,1.4400,2.0774,1.30693e+15
1450,5939200,1.78183e+16,1.1464,1.4338,2.0686,1.31515e+15
1460,5980160,1.79412e+16,1.6297,1.4403,2.0780,1.32514e+15
1470,6021120,1.8064e+16,1.5000,1.4363,2.0721,1.33364e+15
1480,6062080,1.81869e+16,1.7722,1.4398,2.0772,1.34322e+15
1490,6103040,1.83098e+16,1.5476,1.4417,2.0800,1.35257e+15
1500,6144000,1.84327e+16,1.3484,1.4321,2.0661,1.36025e+15
1510,6184960,1.85556e+16,1.5112,1.4287,2.0612,1.36882e+15
1520,6225920,1.86785e+16,1.3944,1.4244,2.0549,1.37725e+15
1530,6266880,1.88013e+16,1.4023,1.4234,2.0535,1.38617e+15
1540,6307840,1.89242e+16,1.5527,1.4251,2.0560,1.39548e+15
1550,6348800,1.90471e+16,1.2988,1.4197,2.0482,1.40374e+15
1560,6389760,1.917e+16,1.5572,1.4168,2.0441,1.41237e+15
1570,6430720,1.92929e+16,1.2895,1.4101,2.0344,1.42041e+15
1580,6471680,1.94158e+16,1.6687,1.4160,2.0428,1.43034e+15
1590,6512640,1.95387e+16,1.5725,1.4255,2.0565,1.44085e+15
1600,6553600,1.96615e+16,1.0128,1.4174,2.0449,1.44867e+15
1610,6594560,1.97844e+16,1.0147,1.4090,2.0327,1.45642e+15
1620,6635520,1.99073e+16,1.4063,1.4106,2.0351,1.46572e+15
1630,6676480,2.00302e+16,1.3963,1.4131,2.0387,1.47515e+15
1640,6717440,2.01531e+16,1.3261,1.4143,2.0404,1.4844e+15
1650,6758400,2.0276e+16,1.4825,1.4183,2.0462,1.49408e+15
1660,6799360,2.03988e+16,1.3945,1.4222,2.0519,1.50377e+15
1670,6840320,2.05217e+16,1.3944,1.4256,2.0566,1.51336e+15
1680,6881280,2.06446e+16,1.6843,1.4327,2.0670,1.52358e+15
1690,6922240,2.07675e+16,1.4526,1.4374,2.0738,1.53342e+15
1700,6963200,2.08904e+16,1.4510,1.4424,2.0810,1.54332e+15
1710,7004160,2.10133e+16,1.4110,1.4455,2.0854,1.5529e+15
1720,7045120,2.11362e+16,1.4893,1.4499,2.0918,1.56272e+15
1730,7086080,2.1259e+16,1.2054,1.4491,2.0907,1.57167e+15
1740,7127040,2.13819e+16,1.3206,1.4514,2.0940,1.58115e+15
1750,7168000,2.15048e+16,1.5639,1.4466,2.0870,1.58941e+15
1760,7208960,2.16277e+16,1.4986,1.4490,2.0904,1.5989e+15
1770,7249920,2.17506e+16,1.3986,1.4445,2.0839,1.60721e+15
1780,7290880,2.18735e+16,1.4860,1.4427,2.0814,1.61599e+15
1790,7331840,2.19963e+16,1.3738,1.4414,2.0795,1.62484e+15
1800,7372800,2.21192e+16,1.5741,1.4427,2.0814,1.63415e+15
1810,7413760,2.22421e+16,1.3830,1.4416,2.0798,1.64303e+15
1820,7454720,2.2365e+16,1.4593,1.4398,2.0773,1.6518e+15
1830,7495680,2.24879e+16,1.3860,1.4360,2.0717,1.6602e+15
1840,7536640,2.26108e+16,1.5165,1.4373,2.0735,1.66949e+15
1850,7577600,2.27337e+16,1.2905,1.4297,2.0626,1.67722e+15
1860,7618560,2.28565e+16,1.3002,1.4261,2.0575,1.68564e+15
1870,7659520,2.29794e+16,1.4069,1.4268,2.0585,1.69483e+15
1880,7700480,2.31023e+16,1.2298,1.4183,2.0462,1.70235e+15
1890,7741440,2.32252e+16,1.4552,1.4176,2.0452,1.71128e+15
