step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1270,5201920,1.54233e+16,1.6315,1.3754,1.9843,1.13135e+15
1280,5242880,1.55448e+16,1.3897,1.3845,1.9974,1.14135e+15
1290,5283840,1.56662e+16,1.3986,1.3802,1.9912,1.14974e+15
1300,5324800,1.57877e+16,1.3534,1.3732,1.9812,1.1578e+15
1310,5365760,1.59091e+16,1.4834,1.3715,1.9786,1.16649e+15
1320,5406720,1.60305e+16,1.5636,1.3738,1.9819,1.17568e+15
1330,5447680,1.6152e+16,1.2007,1.3726,1.9802,1.18444e+15
1340,5488640,1.62734e+16,1.6729,1.3756,1.9846,1.19373e+15
1350,5529600,1.63949e+16,1.4053,1.3777,1.9877,1.20291e+15
1360,5570560,1.65163e+16,1.3709,1.3762,1.9855,1.21162e+15
1370,5611520,1.66378e+16,1.4760,1.3755,1.9844,1.22044e+15
1380,5652480,1.67592e+16,1.3924,1.3723,1.9798,1.22893e+15
1390,5693440,1.68806e+16,1.3474,1.3702,1.9767,1.23756e+15
1400,5734400,1.70021e+16,1.2526,1.3686,1.9744,1.24625e+15
1410,5775360,1.71235e+16,1.4961,1.3698,1.9762,1.25531e+15
1420,5816320,1.7245e+16,1.3198,1.3661,1.9709,1.26372e+15
1430,5857280,1.73664e+16,1.1468,1.3620,1.9650,1.27207e+15
1440,5898240,1.74879e+16,1.0447,1.3556,1.9557,1.2801e+15
1450,5939200,1.76093e+16,1.4659,1.3606,1.9630,1.28967e+15
1460,5980160,1.77307e+16,1.4226,1.3587,1.9602,1.29831e+15
1470,6021120,1.78522e+16,1.6250,1.3591,1.9608,1.30725e+15
1480,6062080,1.79736e+16,1.5353,1.3628,1.9661,1.31666e+15
1490,6103040,1.80951e+16,1.2915,1.3569,1.9577,1.32474e+15
1500,6144000,1.82165e+16,1.3927,1.3511,1.9492,1.33281e+15
1510,6184960,1.8338e+16,1.3118,1.3463,1.9423,1.34101e+15
1520,6225920,1.84594e+16,1.3778,1.3464,1.9425,1.34991e+15
1530,6266880,1.85809e+16,1.3974,1.3465,1.9426,1.3588e+15
1540,6307840,1.87023e+16,1.3143,1.3449,1.9402,1.36745e+15
1550,6348800,1.88237e+16,1.4264,1.3409,1.9345,1.37575e+15
1560,6389760,1.89452e+16,1.2607,1.3347,1.9256,1.38373e+15
1570,6430720,1.90666e+16,1.4843,1.3367,1.9284,1.39288e+15
1580,6471680,1.91881e+16,1.5388,1.3441,1.9392,1.40285e+15
1590,6512640,1.93095e+16,1.0636,1.3428,1.9372,1.41153e+15
1600,6553600,1.9431e+16,0.8438,1.3312,1.9206,1.41868e+15
1610,6594560,1.95524e+16,1.2937,1.3317,1.9212,1.42761e+15
1620,6635520,1.96738e+16,1.3063,1.3333,1.9236,1.43673e+15
1630,6676480,1.97953e+16,1.1778,1.3332,1.9234,1.44558e+15
1640,6717440,1.99167e+16,1.4455,1.3373,1.9294,1.45509e+15
