step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1160,4751360,1.39321e+16,1.1467,1.4042,2.0258,1.02508e+15
1170,4792320,1.40522e+16,1.1694,1.3900,2.0053,1.03236e+15
1180,4833280,1.41723e+16,1.2788,1.3826,1.9946,1.04037e+15
1190,4874240,1.42925e+16,1.1479,1.3712,1.9783,1.04793e+15
1200,4915200,1.44126e+16,1.1424,1.3673,1.9726,1.05629e+15
1210,4956160,1.45327e+16,1.1956,1.3612,1.9638,1.06441e+15
1220,4997120,1.46528e+16,1.2188,1.3580,1.9592,1.07285e+15
1230,5038080,1.47729e+16,1.1775,1.3568,1.9574,1.0815e+15
1240,5079040,1.4893e+16,1.1467,1.3511,1.9492,1.08964e+15
1250,5120000,1.50131e+16,1.6515,1.3615,1.9643,1.09964e+15
1260,5160960,1.51332e+16,1.3008,1.3667,1.9718,1.10904e+15
1270,5201920,1.52533e+16,1.5625,1.3781,1.9882,1.11919e+15
1280,5242880,1.53734e+16,1.5559,1.3905,2.0061,1.12949e+15
1290,5283840,1.54935e+16,1.3975,1.3974,2.0160,1.13914e+15
1300,5324800,1.56136e+16,1.4399,1.3918,2.0079,1.14729e+15
1310,5365760,1.57337e+16,1.3827,1.3868,2.0007,1.1555e+15
1320,5406720,1.58538e+16,1.5042,1.3847,1.9978,1.16407e+15
1330,5447680,1.59739e+16,1.5102,1.3864,2.0002,1.1731e+15
1340,5488640,1.6094e+16,1.3915,1.3880,2.0024,1.18211e+15
1350,5529600,1.62141e+16,1.5980,1.3910,2.0068,1.19132e+15
1360,5570560,1.63342e+16,1.4009,1.3912,2.0071,1.20017e+15
1370,5611520,1.64543e+16,1.3556,1.3899,2.0052,1.20882e+15
1380,5652480,1.65744e+16,1.5090,1.3887,2.0035,1.2175e+15
1390,5693440,1.66945e+16,1.4312,1.3857,1.9991,1.22593e+15
1400,5734400,1.68147e+16,1.3051,1.3823,1.9943,1.2343e+15
1410,5775360,1.69348e+16,1.3609,1.3825,1.9945,1.24314e+15
1420,5816320,1.70549e+16,1.5355,1.3842,1.9970,1.25218e+15
1430,5857280,1.7175e+16,1.2564,1.3794,1.9901,1.26036e+15
1440,5898240,1.72951e+16,1.0829,1.3750,1.9837,1.26859e+15
1450,5939200,1.74152e+16,1.0964,1.3686,1.9745,1.27654e+15
1460,5980160,1.75353e+16,1.5094,1.3737,1.9818,1.28602e+15
1470,6021120,1.76554e+16,1.4304,1.3697,1.9761,1.29429e+15
1480,6062080,1.77755e+16,1.6742,1.3723,1.9798,1.30345e+15
1490,6103040,1.78956e+16,1.4414,1.3737,1.9818,1.31245e+15
1500,6144000,1.80157e+16,1.2793,1.3646,1.9686,1.31999e+15
1510,6184960,1.81358e+16,1.3996,1.3610,1.9636,1.32829e+15
1520,6225920,1.82559e+16,1.3406,1.3566,1.9572,1.33646e+15
1530,6266880,1.8376e+16,1.3735,1.3566,1.9571,1.34525e+15
1540,6307840,1.84961e+16,1.5020,1.3583,1.9596,1.35429e+15
1550,6348800,1.86162e+16,1.2196,1.3523,1.9510,1.36222e+15
1560,6389760,1.87363e+16,1.4908,1.3493,1.9466,1.37057e+15
1570,6430720,1.88564e+16,1.2156,1.3424,1.9366,1.37835e+15
1580,6471680,1.89765e+16,1.5723,1.3475,1.9441,1.38789e+15
1590,6512640,1.90966e+16,1.4925,1.3566,1.9572,1.39801e+15
1600,6553600,1.92167e+16,0.9475,1.3487,1.9458,1.40563e+15
1610,6594560,1.93368e+16,0.9675,1.3404,1.9337,1.41317e+15
1620,6635520,1.9457e+16,1.3170,1.3415,1.9353,1.42212e+15
1630,6676480,1.95771e+16,1.2633,1.3423,1.9366,1.43103e+15
1640,6717440,1.96972e+16,1.2526,1.3432,1.9379,1.43994e+15
1650,6758400,1.98173e+16,1.4215,1.3473,1.9437,1.44934e+15
1660,6799360,1.99374e+16,1.3140,1.3506,1.9485,1.45863e+15
1670,6840320,2.00575e+16,1.2699,1.3526,1.9514,1.46773e+15
1680,6881280,2.01776e+16,1.6211,1.3595,1.9613,1.47759e+15
