eval_id,dim,n_heads,n_state,depth,lr,batch_size,params_b,avg_loss,final_loss,last_step_loss,median_tok_s,n_steps,tokens,train_minutes,proj_full_run_gpu_days,success,error
65,3328,102,32,17,0.0013582697974980364,2,1.166,7.507512068965517,7.5075,6.6539,2780.0,580,2376840,14.82,416.334,True,
87,3328,102,32,17,0.001471147511122896,2,1.166,7.545301785714286,7.5453,6.7151,2686.0,560,2294880,14.88,430.904,True,
95,3328,101,32,17,0.0014969089049690716,2,1.1568,7.562955357142857,7.563,6.6933,2673.0,560,2294880,14.88,432.999,True,
33,3328,104,32,17,0.001285737289960581,2,1.1878,7.575105357142857,7.5751,6.7329,2661.0,560,2294880,15.0,434.952,True,
64,3328,96,32,18,0.0014744823275723463,2,1.1627,7.5869660377358485,7.587,6.4869,2546.5,530,2171940,14.82,454.509,True,
83,3328,100,32,17,0.001401985411372291,2,1.1476,7.598319298245614,7.5983,6.6182,2730.0,570,2335860,14.88,423.959,True,
71,3328,98,32,18,0.0012503947411960157,2,1.1821,7.604168518518518,7.6042,6.7615,2597.0,540,2212920,14.94,445.671,True,
62,3328,95,32,18,0.0014035229154739852,2,1.153,7.616766666666667,7.6168,6.5648,2584.0,540,2212920,14.88,447.913,True,
86,3328,97,32,18,0.0013908941954445442,2,1.1724,7.620862962962963,7.6209,6.572,2573.0,540,2212920,14.94,449.828,True,
93,3200,102,32,18,0.0014918627538155435,2,1.1776,7.622437037037037,7.6224,6.5111,2569.0,540,2212920,14.94,450.528,True,
92,3328,98,32,18,0.0014782948709019918,2,1.1821,7.623490566037736,7.6235,6.7172,2518.0,530,2171940,15.0,459.653,True,
41,3456,91,32,19,0.0012135151332188989,2,1.2076,7.6261052631578945,7.6261,6.79,2709.0,570,2335860,15.0,427.245,True,
73,3328,102,32,18,0.0013856527736776753,2,1.2247,7.634648214285714,7.6347,6.8203,2653.0,560,2294880,15.0,436.264,True,
88,3328,104,32,17,0.0014325600469431085,2,1.1878,7.6421431372549025,7.6421,6.5725,2422.5,510,2089980,14.94,477.774,True,
94,3456,109,32,16,0.0013240423859441604,2,1.216,7.642778846153846,7.6428,6.8868,2461.0,520,2130960,15.0,470.3,True,
91,3328,104,32,18,0.0014351377889522947,2,1.2478,7.645171153846154,7.6452,6.8443,2462.0,520,2130960,15.0,470.109,True,
76,3456,98,32,17,0.0013914976990816845,2,1.169,7.651518867924529,7.6515,6.7902,2534.5,530,2171940,14.82,456.661,True,
63,3200,105,32,18,0.0012893921223052504,2,1.2092,7.655972222222222,7.656,6.8311,2566.0,540,2212920,15.0,451.055,True,
84,3200,109,32,18,0.0014996078042948241,2,1.2466,7.665391836734694,7.6654,6.7968,2355.5,490,2008020,14.82,491.364,True,
21,3200,98,32,19,0.0011837521121355473,2,1.1909,7.667955769230769,7.668,6.988,2504.0,520,2130960,14.82,462.223,True,
